,Recode: Race/ethnicity,,,,,,,,
Student: Full Congressional district,White,Black,Hispanic,Asian,Pacific Islander,Native American,Two or more,No response/Missing,Total
,N,N,N,N,N,N,N,N,N
WA,10145,2699,4122,16966
WI,31084,9359,6226,46669
WV,7355,3132,802,11289
WY,3813,1472,779,6064
Total,1147811,421607,354173,1923591

,Recode: Family income ($36k or less),,,
Student: Home state of residence [alpha],No,Yes,,Total
,N,N,N,N
AK,1489,402,1014,2905
AL,27465,19470,8558,55493
AR,13266,8592,5162,27020
AZ,15050,8949,11314,35313
CA,52654,27579,41519,121752
CO,29189,12357,15782,57328
CT,5755,852,6108,12715
DC,317,208,704,1229
DE,877,143,599,1619
FL,50246,37482,42783,130511
GA,25746,13513,15468,54727
HI,4873,3091,3996,11960
IA,14830,2930,4840,22600
ID,4315,1122,1943,7380
IL,71508,37085,48630,157223
IN,16053,4590,6787,27430
KS,14415,4444,5088,23947
KY,24928,16137,8494,49559
LA,22754,15875,10544,49173
MA,8740,1360,9232,19332
MD,8057,1685,6344,16086
ME,709,122,545,1376
MI,60545,29566,28431,118542
MN,28398,6089,12341,46828
MO,28053,11078,10283,49414
MS,12097,11476,5861,29434
MT,4945,2128,2418,9491
NC,47937,30063,22570,100570
ND,4062,1061,2039,7162
NE,11090,3728,3529,18347
NH,1647,194,1347,3188
NJ,13724,3419,13185,30328
NM,6678,4178,2508,13364
NV,4719,2187,2445,9351
NY,26515,6649,25515,58679
OH,52995,17575,21113,91683
OK,16623,7545,6707,30875
OR,6616,2537,5021,14174
PA,15305,3076,11308,29689
RI,879,196,859,1934
SC,12358,6025,6841,25224
SD,4309,1169,1136,6614
TN,32068,19788,16764,68620
TX,56704,27115,41184,125003
UT,22133,7598,10640,40371
VA,13055,2841,8962,24858
VT,1119,245,818,2182
WA,8161,2569,6236,16966
WI,28799,7733,10137,46669
WV,6723,3028,1538,11289
WY,3397,1386,1281,6064
Total,944890,440230,538471,1923591

,Recode: ACT Composite score [categorical],,,
Student: Home state of residence [alpha],Less than 19,19 to 23,24 or higher,Total
,N,N,N,N
AK,1003,915,987,2905
AL,28994,15358,11141,55493
AR,10580,9274,7166,27020
AZ,16081,10123,9109,35313
CA,34272,36156,51324,121752
CO,22421,17409,17498,57328
CT,1844,3681,7190,12715
DC,680,223,326,1229
DE,363,492,764,1619
FL,60684,37555,32272,130511
GA,20196,17966,16565,54727
HI,6749,3115,2096,11960
IA,5373,8769,8458,22600
ID,1614,2609,3157,7380
IL,62280,47130,47813,157223
IN,7284,9491,10655,27430
KS,6427,8688,8832,23947
KY,21532,15727,12300,49559
LA,22973,16273,9927,49173
MA,2762,5684,10886,19332
MD,4167,4789,7130,16086
ME,175,413,788,1376
MI,50755,36954,30833,118542
MN,10340,16137,20351,46828
MO,14581,17757,17076,49414
MS,15710,8739,4985,29434
MT,3687,3255,2549,9491
NC,52284,27443,20843,100570
ND,2606,2557,1999,7162
NE,5682,6510,6155,18347
NH,407,1039,1742,3188
NJ,6679,8912,14737,30328
NM,5731,4527,3106,13364
NV,3216,3322,2813,9351
NY,10440,18420,29819,58679
OH,24679,32541,34463,91683
OK,11117,11480,8278,30875
OR,4579,4390,5205,14174
PA,6790,9257,13642,29689
RI,438,570,926,1934
SC,9989,8155,7080,25224
SD,1660,2475,2479,6614
TN,31352,20840,16428,68620
TX,47124,39174,38705,125003
UT,16725,12821,10825,40371
VA,5372,7711,11775,24858
VT,407,653,1122,2182
WA,4960,4560,7446,16966
WI,11486,16731,18452,46669
WV,3865,4369,3055,11289
WY,2437,2118,1509,6064
Total,703552,605257,614782,1923591

,Recode: Met 3 or more benchmarks,,
Student: Home state of residence [alpha],No,Yes,Total
,N,N,N
AK,1683,1222,2905
AL,41516,13977,55493
AR,17763,9257,27020
AZ,23454,11859,35313
CA,60764,60988,121752
CO,34950,22378,57328
CT,4436,8279,12715
DC,839,390,1229
DE,723,896,1619
FL,89031,41480,130511
GA,33963,20764,54727
HI,9073,2887,11960
IA,11651,10949,22600
ID,3502,3878,7380
IL,97393,59830,157223
IN,14139,13291,27430
KS,12747,11200,23947
KY,33666,15893,49559
LA,35781,13392,49173
MA,6619,12713,19332
MD,7582,8504,16086
ME,482,894,1376
MI,78278,40264,118542
MN,21330,25498,46828
MO,27814,21600,49414
MS,23082,6352,29434
MT,6016,3475,9491
NC,72669,27901,100570
ND,4405,2757,7162
NE,10432,7915,18347
NH,1154,2034,3188
NJ,12949,17379,30328
NM,9150,4214,13364
NV,5662,3689,9351
NY,22791,35888,58679
OH,48080,43603,91683
OK,20066,10809,30875
OR,7704,6470,14174
PA,13234,16455,29689
RI,844,1090,1934
SC,16169,9055,25224
SD,3442,3172,6614
