,Recode: Race/ethnicity,,,,,,,,
Student: Full Congressional district,White,Black,Hispanic,Asian,Pacific Islander,Native American,Two or more,No response/Missing,Total
,N,N,N,N,N,N,N,N,N
GA-13,1613,4142,612,242,4,19,282,320,7234
GA-14,2878,403,553,80,2,7,123,117,4163
GA-2,1405,1986,146,81,6,6,122,112,3864
GA-3,1724,665,174,71,3,12,102,113,2864
GA-4,1695,3883,434,336,6,23,238,341,6956
GA-5,709,1028,123,27,0,5,59,144,2095
GA-6,4604,911,654,836,8,13,288,558,7872
GA-7,218,351,205,185,3,3,28,54,1047
GA-8,898,649,111,54,3,3,65,62,1845
GA-9,3584,526,583,212,6,10,161,186,5268
HI-1,333,89,657,2672,499,7,1476,317,6050
HI-2,618,45,773,1125,874,6,1675,597,5713
IA-1,4359,129,161,79,6,29,117,223,5103
IA-2,4241,172,320,139,5,13,176,159,5225
IA-3,5049,270,467,237,4,11,197,832,7067
IA-4,4345,48,320,142,6,14,113,128,5116
ID-1,1907,19,349,45,8,22,103,120,2573
ID-2,3832,59,451,85,10,37,126,193,4793
IL-1,313,1829,154,7,4,15,68,508,2898
IL-10,1526,90,289,154,9,4,67,465,2604
IL-11,9008,1521,3868,985,22,17,614,1206,17241
IL-12,4602,1328,309,81,13,31,334,838,7536
IL-13,4706,831,273,156,10,19,321,610,6926
IL-14,10752,612,3614,621,54,40,546,1475,17714
IL-15,7267,369,349,108,8,32,268,996,9397
IL-16,5543,466,1178,159,5,21,302,1002,8676
IL-17,4734,634,582,114,9,19,326,660,7078
IL-18,3947,105,162,63,3,18,131,583,5012
IL-2,2659,6060,1993,110,16,45,495,1551,12929
IL-3,3529,1680,1440,131,7,18,152,1267,8224
IL-4,2707,2449,10935,675,39,40,297,1969,19111
IL-5,458,321,372,34,3,5,37,108,1338
IL-6,953,63,136,89,4,3,30,117,1395
IL-7,300,1300,219,48,1,10,103,259,2240
IL-8,8282,736,4029,1767,46,29,514,1506,16909
IL-9,4328,640,1317,1046,32,14,319,1018,8714
IN-1,2550,610,715,82,5,11,133,507,4613
IN-2,1500,131,174,66,3,2,79,73,2028
IN-3,2206,116,136,78,0,12,68,84,2700
IN-4,1684,70,116,76,2,7,53,61,2069
IN-5,4033,935,297,216,7,20,240,224,5972
IN-6,1985,35,59,31,1,5,57,52,2225
IN-7,1097,470,229,52,1,4,79,87,2019
IN-8,1986,109,70,42,1,6,89,60,2363
IN-9,2742,138,160,66,9,10,114,124,3363
KS-1,4364,132,886,101,4,27,244,169,5927
KS-2,3524,172,335,55,9,63,285,109,4552
KS-3,5034,620,1011,372,11,29,356,397,7830
KS-4,3682,300,742,267,5,49,362,196,5603
KY-1,5000,551,250,37,7,25,276,593,6739
KY-2,9097,676,501,146,16,65,460,1008,11969
KY-3,2596,1601,381,163,12,24,272,602,5651
KY-4,8060,409,385,149,22,31,296,877,10229
KY-5,6430,152,120,45,8,35,154,625,7569
KY-6,4968,635,375,137,6,29,296,525,6971
LA-1,3371,658,425,120,3,74,202,363,5216
LA-2,3715,6046,889,377,15,42,392,1010,12486
LA-3,4940,2201,302,131,9,50,282,685,8600
LA-4,3288,2416,329,73,13,80,289,371,6859
LA-5,4813,3245,246,83,5,56,246,557,9251
LA-6,4029,1116,297,129,4,49,187,328,6139
MA-1,909,58,70,63,1,4,42,71,1218
MA-2,1274,81,86,175,2,6,52,115,1791
MA-3,1764,56,213,242,1,4,58,233,2571
MA-4,2612,64,119,218,4,4,75,300,3396
MA-5,2147,115,196,340,2,1,89,323,3213
MA-6,2205,49,179,128,2,3,47,210,2823
MA-7,291,269,186,137,1,0,37,120,1041
MA-8,1340,78,57,158,1,1,34,149,1818
MA-9,1155,24,38,51,2,8,38,104,1420
MD-1,881,82,51,49,2,1,42,57,1165
MD-2,1149,612,132,196,6,6,107,180,2388
MD-3,540,356,81,96,2,4,88,122,1289
MD-4,897,1325,188,96,2,9,140,155,2812
MD-5,792,747,86,60,3,13,124,111,1936
MD-6,535,223,121,115,2,2,50,59,1107
MD-7,275,143,16,67,0,2,24,37,564
MD-8,2436,658,546,421,16,9,186,528,4800
ME-1,825,10,20,41,0,1,25,59,981
ME-2,309,11,4,35,0,2,9,18,388
MI-1,5947,48,193,61,7,195,339,397,7187
MI-10,7769,292,443,176,15,39,272,545,9551
MI-11,4887,376,305,703,10,19,287,546,7133
MI-12,5547,1324,804,284,9,33,458,1255,9714
MI-13,1460,2433,201,50,3,31,229,434,4841
MI-14,2060,5063,843,377,14,50,420,830,9657
MI-2,5262,361,734,163,2,49,275,485,7331
MI-3,8920,878,1347,355,8,40,562,738,12848
MI-4,6564,368,487,117,7,59,280,455,8337
MI-5,2350,932,313,37,7,17,231,300,4187
MI-6,5152,698,624,129,11,30,358,426,7428
MI-7,4977,190,354,60,4,22,260,337,6204
MI-8,8814,647,697,410,20,52,499,1325,12464
MI-9,6355,1886,380,531,11,55,476,1130,10824
MN-1,4045,143,279,127,5,5,94,159,4857
MN-2,5453,260,384,337,5,23,247,339,7048
MN-3,4268,364,249,413,4,17,219,464,5998
MN-4,2711,563,460,1083,5,13,223,787,5845
MN-5,2779,1140,714,578,5,38,348,582,6184
MN-6,7375,188,246,267,4,27,280,335,8722
MN-7,3812,32,141,51,1,45,127,92,4301
MN-8,3325,31,78,45,5,53,142,107,3786
MO-1,980,3162,146,103,2,16,267,329,5005
MO-2,5301,644,300,352,10,14,236,640,7497
MO-3,8881,347,318,165,15,17,343,459,10545
MO-4,4747,194,268,89,8,22,226,187,5741
MO-5,1076,1072,427,73,15,11,189,149,3012
MO-6,6512,381,497,143,18,22,353,276,8202
MO-7,4100,91,295,104,9,32,240,150,5021
MO-8,3578,229,120,30,8,16,153,88,4222
MS-1,4389,2375,305,67,8,23,196,396,7759
MS-2,1467,3342,89,41,4,15,92,217,5267
MS-3,3885,3847,189,88,5,82,193,489,8778
MS-4,4371,2005,279,141,2,39,256,344,7437
MT-A,7147,70,480,62,23,450,477,782,9491
NC-1,1722,2218,389,53,11,53,218,702,5366
NC-10,5782,1048,826,231,14,39,403,708,9051
NC-11,4115,167,378,81,6,103,200,282,5332
NC-12,911,775,376,40,2,15,111,152,2382
NC-13,1303,397,234,53,5,11,96,220,2319
NC-2,1560,309,438,61,4,18,117,155,2662
NC-3,4949,2182,908,122,19,55,481,910,9626
NC-4,7210,4126,2232,843,34,84,861,1411,16801
NC-5,2683,225,401,52,4,11,132,182,3690
NC-6,5180,2427,998,375,19,51,427,1085,10562
NC-7,4041,1621,1109,69,10,100,402,488,7840
NC-8,4053,1924,960,153,13,588,455,865,9011
NC-9,7110,3276,1725,568,33,72,602,1279,14665
ND-A,5363,133,242,84,13,300,225,802,7162
NE-1,4422,177,593,165,8,61,227,250,5903
NE-2,4650,547,847,238,10,32,302,281,6907
NE-3,4289,38,799,56,10,26,114,129,5461
NH-1,1435,26,44,85,5,2,29,140,1766
NH-2,1136,11,28,90,2,2,26,113,1408
NJ-1,581,201,191,72,2,2,40,75,1164
NJ-10,385,1195,334,47,9,4,85,204,2263
NJ-11,2107,54,209,197,2,8,67,262,2906
NJ-12,913,190,149,490,2,3,52,184,1983
NJ-2,1084,115,133,119,2,2,48,105,1608
NJ-3,1212,141,101,76,3,0,52,99,1684
NJ-4,1659,139,222,116,4,7,55,205,2407
NJ-5,2768,59,380,340,10,6,84,345,3992
NJ-6,1411,173,295,316,10,3,54,212,2474
NJ-7,3858,256,519,442,7,8,145,562,5797
NJ-8,256,453,1019,109,5,3,46,195,2086
NJ-9,875,160,434,235,4,1,40,151,1900
NM-1,1399,77,1857,163,5,136,129,221,3987
NM-2,1163,71,3448,50,3,341,105,258,5439
NM-3,959,32,1516,66,6,712,112,159,3562
NV-1,83,37,271,48,9,8,29,17,502
NV-2,1706,54,792,144,27,56,157,156,3092
NV-3,1382,188,615,364,41,15,236,153,2994
NV-4,994,299,841,101,22,20,185,109,2571
NY-1,1996,70,320,133,7,9,61,233,2829
NY-10,183,9,52,138,0,0,16,77,475
NY-11,1004,102,232,380,5,1,37,211,1972
NY-12,297,14,56,50,1,0,17,123,558
NY-13,373,360,673,95,2,1,39,210,1753
NY-14,167,40,323,456,5,1,24,132,1148
NY-15,58,321,655,56,1,4,12,97,1204
NY-16,782,386,338,106,4,5,51,231,1903
NY-17,2420,249,542,299,3,5,123,504,4145
NY-18,2474,128,439,158,3,2,117,363,3684
NY-19,976,24,85,60,1,2,40,107,1295
NY-2,2505,162,455,105,4,8,77,325,3641
NY-20,2088,128,114,117,0,7,72,182,2708
NY-21,1449,23,43,39,2,29,38,85,1708
NY-22,1644,32,55,55,0,5,57,120,1968
NY-23,1371,23,54,47,0,6,39,91,1631
NY-24,1766,86,57,74,2,8,57,142,2192
NY-25,2192,139,127,155,1,10,78,183,2885
NY-26,1704,193,103,105,0,5,60,115,2285
NY-27,2178,22,43,29,3,9,40,163,2487
NY-3,4655,158,627,921,8,17,109,900,7395
NY-4,1893,215,349,105,2,5,59,304,2932
NY-5,448,573,270,336,19,10,68,312,2036
NY-6,147,28,82,384,4,2,15,90,752
NY-7,261,152,408,379,6,2,32,153,1393
NY-8,45,14,21,2,0,0,2,4,88
NY-9,401,553,176,187,3,3,37,164,1524
OH-1,7458,1748,338,300,11,26,400,668,10949
OH-10,2299,735,147,84,6,8,190,167,3636
OH-11,523,1959,119,31,0,17,188,236,3073
OH-12,5853,260,229,239,6,12,258,613,7470
OH-13,4236,684,229,160,9,14,269,421,6022
OH-14,4908,670,200,171,3,10,211,441,6614
OH-15,2634,37,51,32,2,7,122,103,2988
OH-16,5148,395,245,148,12,10,228,451,6637
OH-2,2648,154,75,49,1,5,109,190,3231
OH-3,4263,1942,381,313,5,19,433,570,7926
OH-4,3660,193,322,45,4,10,201,170,4605
OH-5,4233,98,306,76,5,4,135,238,5095
OH-6,3750,73,45,20,1,11,163,136,4199
OH-7,7832,347,266,98,7,20,354,392,9316
OH-8,4718,399,198,136,4,17,264,231,5967
OH-9,1940,615,563,84,4,6,214,250,3676
OK-1,4083,562,700,243,10,517,997,549,7661
OK-2,2592,156,350,45,9,886,985,139,5162
OK-3,3332,118,698,94,14,296,472,133,5157
OK-4,3864,471,769,194,18,365,835,306,6822
OK-5,2844,732,952,248,10,196,547,285,5814
OR-1,2947,108,1068,447,38,28,409,422,5467
OR-2,1274,14,213,39,6,16,86,342,1990
OR-3,2067,252,540,380,30,17,294,410,3990
OR-4,952,12,191,49,5,19,107,79,1414
OR-5,656,4,304,43,9,28,57,46,1147
PA-1,130,215,32,43,1,5,17,50,493
PA-10,1034,53,70,27,1,5,30,49,1269
PA-11,600,18,30,31,0,2,22,21,724
PA-12,1516,117,36,81,1,3,52,110,1916
PA-13,1549,506,215,253,2,4,70,196,2795
PA-14,241,172,21,13,0,1,33,33,514
PA-15,1277,81,197,73,2,1,65,88,1784
PA-16,1093,45,96,84,0,3,47,74,1442
PA-17,438,30,43,33,1,2,13,26,586
PA-18,2695,72,63,97,1,3,74,171,3176
PA-2,663,921,104,143,4,11,94,195,2135
PA-3,1561,91,50,70,1,7,69,93,1942
PA-4,1183,109,98,74,2,1,49,70,1586
PA-5,993,60,31,50,1,2,39,65,1241
PA-6,3006,91,206,193,0,4,98,255,3853
PA-7,668,125,33,81,0,2,21,69,999
PA-8,1870,64,68,143,0,2,49,170,2366
PA-9,625,23,17,30,2,1,18,30,746
RI-1,573,32,56,42,0,4,31,72,810
RI-2,713,50,156,52,1,3,37,87,1099
SC-1,1512,454,181,46,8,11,100,112,2424
SC-2,2630,1542,208,120,10,15,191,173,4889
SC-3,1791,486,98,31,1,11,80,68,2566
SC-4,2872,746,272,144,3,11,136,187,4371
SC-5,1639,667,107,35,0,14,81,99,2642
SC-6,2154,2044,243,88,5,21,229,187,4971
SC-7,1727,1101,122,43,2,17,115,70,3197
SD-A,5389,88,218,67,5,412,270,165,6614
TN-1,4503,146,252,52,3,21,164,686,5827
TN-2,5048,446,285,81,9,19,218,333,6439
TN-3,6774,840,454,127,6,33,210,890,9334
TN-4,3632,467,328,130,1,14,175,487,5234
TN-5,2892,1883,746,214,7,19,234,380,6375
TN-6,6110,378,438,78,9,23,192,601,7829
TN-7,7891,972,562,193,13,39,373,885,10928
TN-8,3795,1401,276,101,8,23,185,268,6057
TN-9,2307,5726,632,179,10,28,349,855,10086
TX-1,1322,515,462,58,2,9,62,85,2515
TX-10,384,79,162,7,0,3,16,19,670
TX-11,1146,65,674,33,1,7,48,48,2022
TX-12,975,104,272,45,0,8,50,83,1537
TX-13,1980,138,788,60,1,24,105,106,3202
TX-14,819,308,359,95,4,3,58,58,1704
TX-15,512,40,7958,78,11,12,31,229,8871
TX-16,217,91,2466,32,5,3,50,99,2963
TX-17,1049,321,553,87,1,11,76,60,2158
TX-18,26,266,217,27,0,1,18,18,573
TX-19,1851,140,1477,56,5,18,84,98,3729
TX-2,1575,623,1028,232,8,12,114,160,3752
TX-20,38,13,322,12,2,1,14,9,411
TX-21,1689,64,686,150,3,8,73,181,2854
TX-22,2007,1117,1303,979,17,17,179,256,5875
TX-23,1389,195,3744,134,7,12,143,207,5831
TX-24,1318,393,1473,433,24,16,101,271,4029
TX-25,1397,88,440,53,6,6,68,82,2140
TX-26,4472,470,1184,527,25,50,262,322,7312
TX-27,630,126,994,56,2,1,43,63,1915
TX-28,185,42,1823,14,1,0,9,48,2122
TX-29,123,459,1700,47,1,4,29,54,2417
TX-3,4401,724,1141,1090,13,34,294,466,8163
TX-30,46,1064,345,8,1,2,28,109,1603
TX-31,2215,352,938,380,18,15,184,187,4289
TX-32,803,246,619,155,5,15,45,154,2042
TX-33,311,398,2157,51,2,5,26,92,3042
TX-34,378,30,2859,37,3,9,16,67,3399
TX-35,1090,364,2886,136,5,13,120,150,4764
TX-36,783,195,280,36,0,5,39,24,1362
TX-4,2737,563,546,56,3,33,174,148,4260
TX-5,1765,1224,2781,264,9,23,146,214,6426
TX-6,1859,1550,1334,318,11,31,193,164,5460
TX-7,2792,744,1591,719,8,13,169,403,6439
TX-8,1939,219,610,96,4,18,88,123,3097
TX-9,29,358,280,113,1,0,24,26,831
UT-1,6315,108,1321,100,48,112,297,729,9030
UT-2,8044,166,2430,291,260,119,364,1063,12737
UT-3,10103,99,1515,273,136,131,448,868,13573
UT-4,2969,64,589,117,57,19,171,210,4196
VA-1,1260,271,149,74,8,4,110,117,1993
VA-10,3741,390,581,845,18,21,281,555,6432
VA-11,828,287,251,256,6,1,114,139,1882
VA-2,717,203,107,70,6,3,98,70,1274
VA-3,861,1220,136,85,5,10,171,127,2615
VA-4,1230,553,111,76,7,9,110,93,2189
VA-5,959,313,69,49,0,3,49,66,1508
VA-6,1440,132,92,85,1,10,68,79,1907
VA-7,1584,227,92,125,2,7,79,126,2242
VA-8,846,300,302,146,6,5,85,142,1832
VA-9,781,41,24,18,0,0,12,35,911
VT-A,1811,38,41,82,4,3,58,145,2182
WA-1,1486,42,238,255,12,12,165,197,2407
WA-10,849,197,331,179,71,15,209,100,1951
WA-2,629,36,158,126,8,5,79,174,1215
WA-3,824,29,136,76,13,14,73,67,1232
WA-4,694,11,1062,40,5,46,52,92,2002
WA-5,940,15,85,46,15,19,71,84,1275
WA-6,711,51,82,76,11,13,97,75,1116
WA-7,987,93,155,284,15,6,138,154,1832
WA-8,432,11,109,81,8,10,42,49,742
WA-9,1292,299,237,777,33,5,231,240,3114
WI-1,3490,219,542,107,1,10,164,220,4753
WI-2,5268,268,432,232,12,19,231,588,7050
WI-3,3438,41,104,197,4,12,86,125,4007
WI-4,2668,2335,1351,516,5,36,423,641,7975
WI-5,5405,75,320,187,6,16,169,330,6508
WI-6,3126,54,210,210,5,11,99,142,3857
WI-7,4911,33,133,171,6,68,168,188,5678
WI-8,5681,57,296,220,10,67,166,184,6681
WV-1,3133,59,56,41,1,6,110,102,3508
WV-2,3376,155,95,44,6,6,181,108,3971
WV-3,3189,153,51,10,6,13,119,97,3638
WY-A,4325,38,675,41,10,131,240,604,6064
,5457,2232,2353,292,86,181,553,2710,13864
Total,1057546,252466,299788,87248,6089,14706,76045,129703,1923591

,Recode: Potential first-gen college student,,,
Student: Full Congressional district,No,Yes,,Total
,N,N,N,N
AK-A,1665,488,752,2905
AL-1,4733,2434,752,7919
AL-2,3683,1763,588,6034
AL-3,5034,2808,577,8419
AL-4,3321,2106,355,5782
AL-5,5970,2122,598,8690
AL-6,4696,1879,449,7024
AL-7,6760,3318,970,11048
AR-1,3239,1570,716,5525
AR-2,5141,1629,1034,7804
AR-3,3365,1469,481,5315
AR-4,4564,2512,1017,8093
AZ-1,2696,962,564,4222
AZ-2,1880,871,1419,4170
AZ-3,437,648,520,1605
AZ-4,1552,930,876,3358
AZ-5,3045,535,505,4085
AZ-6,3075,790,1003,4868
AZ-7,1816,3368,1419,6603
AZ-8,2186,910,1107,4203
AZ-9,900,371,386,1657
CA-1,870,323,184,1377
CA-10,1063,585,256,1904
CA-11,3072,530,1105,4707
CA-12,435,311,472,1218
CA-13,965,537,688,2190
CA-14,2093,627,1150,3870
CA-15,895,218,380,1493
CA-16,1007,1075,675,2757
CA-17,2280,473,1172,3925
CA-18,1950,180,781,2911
CA-19,403,295,200,898
CA-2,977,162,404,1543
CA-20,995,650,404,2049
CA-21,1026,846,581,2453
CA-22,792,378,214,1384
CA-23,226,58,47,331
CA-24,1472,518,398,2388
CA-25,1673,477,424,2574
CA-26,1131,365,341,1837
CA-27,1671,684,871,3226
CA-28,834,675,541,2050
CA-29,134,242,98,474
CA-3,703,317,152,1172
CA-30,1963,665,845,3473
CA-31,1351,1084,471,2906
CA-32,410,430,99,939
CA-33,1763,288,718,2769
CA-34,225,482,297,1004
CA-35,840,853,286,1979
CA-36,529,519,142,1190
CA-37,1308,1426,1362,4096
CA-38,1301,1109,865,3275
CA-39,1648,539,603,2790
CA-4,1855,178,477,2510
CA-40,308,882,350,1540
CA-41,1228,1220,334,2782
CA-42,1046,413,327,1786
CA-43,556,580,316,1452
CA-44,650,1179,960,2789
CA-45,3560,427,1258,5245
CA-46,103,121,42,266
CA-47,1812,927,769,3508
CA-48,1346,636,627,2609
CA-49,1968,251,750,2969
CA-5,1226,330,427,1983
CA-50,3018,810,826,4654
CA-51,523,525,124,1172
CA-52,1014,97,403,1514
CA-53,1596,803,543,2942
CA-6,1786,972,943,3701
CA-7,1265,259,310,1834
CA-8,594,356,85,1035
CA-9,922,627,222,1771
CO-1,2436,2017,1803,6256
CO-2,5665,1123,1006,7794
CO-3,3760,2039,1415,7214
CO-4,3897,1844,918,6659
CO-5,5511,1445,1882,8838
CO-6,8331,3008,2421,13760
CO-7,3263,1375,1489,6127
CT-1,1231,185,551,1967
CT-2,1553,177,571,2301
CT-3,1307,199,604,2110
CT-4,2250,219,1446,3915
CT-5,1506,175,706,2387
DC-A,482,176,571,1229
DE-A,1101,168,350,1619
FL-1,3600,989,803,5392
FL-10,4675,2497,1986,9158
FL-11,1866,1000,657,3523
FL-12,2731,786,826,4343
FL-13,1312,555,500,2367
FL-14,2974,1355,1632,5961
FL-15,2249,769,815,3833
FL-16,2231,1011,872,4114
FL-17,1068,754,373,2195
FL-18,1903,811,869,3583
FL-19,2034,1192,918,4144
FL-2,2451,867,611,3929
FL-20,3197,2511,2230,7938
FL-21,4179,1580,2147,7906
FL-22,698,257,506,1461
FL-23,3167,1361,1618,6146
FL-24,911,1247,711,2869
FL-25,3700,2374,2306,8380
FL-26,3174,1531,1346,6051
FL-27,1548,848,802,3198
FL-3,2129,806,919,3854
FL-4,1887,603,636,3126
FL-5,2803,1621,1372,5796
FL-6,3000,879,1107,4986
FL-7,3086,803,1097,4986
FL-8,4183,1309,1079,6571
FL-9,1978,1069,888,3935
GA-1,1739,553,396,2688
GA-10,2217,681,622,3520
GA-11,1344,254,279,1877
GA-12,1964,729,546,3239
GA-13,4659,1520,1055,7234
GA-14,2477,1059,627,4163
GA-2,2379,993,492,3864
GA-3,1824,561,479,2864
GA-4,4522,1321,1113,6956
GA-5,1129,431,535,2095
GA-6,5545,484,1843,7872
GA-7,579,273,195,1047
GA-8,1104,404,337,1845
GA-9,3268,1081,919,5268
HI-1,3600,1399,1051,6050
HI-2,2592,1290,1831,5713
IA-1,3821,825,457,5103
IA-2,3922,829,474,5225
IA-3,4437,918,1712,7067
IA-4,3731,949,436,5116
ID-1,1688,427,458,2573
ID-2,3440,600,753,4793
IL-1,1236,793,869,2898
IL-10,1361,167,1076,2604
IL-11,10148,3616,3477,17241
IL-12,4643,1819,1074,7536
IL-13,3834,1345,1747,6926
IL-14,10703,3755,3256,17714
IL-15,5565,2058,1774,9397
IL-16,4266,2252,2158,8676
IL-17,3747,1777,1554,7078
IL-18,3295,1077,640,5012
IL-2,6357,3073,3499,12929
IL-3,4609,1905,1710,8224
IL-4,6270,7594,5247,19111
IL-5,555,491,292,1338
IL-6,849,83,463,1395
IL-7,1125,608,507,2240
IL-8,9390,3965,3554,16909
IL-9,5465,1319,1930,8714
IN-1,2952,969,692,4613
IN-2,1462,357,209,2028
IN-3,1938,377,385,2700
IN-4,1468,322,279,2069
IN-5,4481,591,900,5972
IN-6,1525,334,366,2225
IN-7,1150,586,283,2019
IN-8,1713,432,218,2363
IN-9,2265,541,557,3363
KS-1,4165,1316,446,5927
KS-2,3322,766,464,4552
KS-3,5607,1129,1094,7830
KS-4,3825,995,783,5603
KY-1,3824,2290,625,6739
KY-2,6856,3958,1155,11969
KY-3,3301,1586,764,5651
KY-4,6587,2591,1051,10229
KY-5,3712,3236,621,7569
KY-6,4242,1909,820,6971
LA-1,3124,1529,563,5216
LA-2,6147,3680,2659,12486
LA-3,4767,3034,799,8600
LA-4,3874,2152,833,6859
LA-5,4817,3119,1315,9251
LA-6,3663,1823,653,6139
MA-1,800,99,319,1218
MA-2,1202,127,462,1791
MA-3,1609,160,802,2571
MA-4,2162,113,1121,3396
MA-5,1894,190,1129,3213
MA-6,1805,166,852,2823
MA-7,444,209,388,1041
MA-8,1172,159,487,1818
MA-9,938,105,377,1420
MD-1,826,106,233,1165
MD-2,1618,202,568,2388
MD-3,811,95,383,1289
MD-4,1917,327,568,2812
MD-5,1376,239,321,1936
MD-6,699,176,232,1107
MD-7,342,40,182,564
MD-8,3034,342,1424,4800
ME-1,668,52,261,981
ME-2,273,29,86,388
MI-1,4533,1705,949,7187
MI-10,6312,2332,907,9551
MI-11,5730,931,472,7133
MI-12,5652,2534,1528,9714
MI-13,2513,1709,619,4841
MI-14,4881,3142,1634,9657
MI-2,4334,1644,1353,7331
MI-3,7606,2847,2395,12848
MI-4,5114,1976,1247,8337
MI-5,2383,1195,609,4187
MI-6,4083,1850,1495,7428
MI-7,3725,1563,916,6204
MI-8,8354,1866,2244,12464
MI-9,5871,2173,2780,10824
MN-1,3573,854,430,4857
MN-2,5251,853,944,7048
MN-3,4326,516,1156,5998
MN-4,3105,871,1869,5845
MN-5,3207,1151,1826,6184
MN-6,6516,1277,929,8722
MN-7,3186,762,353,4301
MN-8,2798,674,314,3786
MO-1,2633,1473,899,5005
MO-2,5461,720,1316,7497
MO-3,7569,1930,1046,10545
MO-4,4087,1173,481,5741
MO-5,1601,761,650,3012
MO-6,5768,1677,757,8202
MO-7,3454,1084,483,5021
MO-8,2535,1249,438,4222
MS-1,4648,2055,1056,7759
MS-2,3096,1680,491,5267
MS-3,5364,2107,1307,8778
MS-4,4669,2029,739,7437
MT-A,6043,2035,1413,9491
NC-1,2596,1834,936,5366
NC-10,5245,2752,1054,9051
NC-11,3116,1824,392,5332
NC-12,1315,816,251,2382
NC-13,1529,358,432,2319
NC-2,1685,688,289,2662
NC-3,5916,2959,751,9626
NC-4,10911,3449,2441,16801
NC-5,2322,1170,198,3690
NC-6,6239,3076,1247,10562
NC-7,4494,2464,882,7840
NC-8,4891,3103,1017,9011
NC-9,9133,2831,2701,14665
ND-A,4677,1143,1342,7162
NE-1,4015,1087,801,5903
NE-2,5020,1184,703,6907
NE-3,3621,1326,514,5461
NH-1,1156,113,497,1766
NH-2,957,93,358,1408
NJ-1,637,188,339,1164
NJ-10,1150,629,484,2263
NJ-11,1948,182,776,2906
NJ-12,1241,135,607,1983
NJ-2,1061,220,327,1608
NJ-3,1138,147,399,1684
NJ-4,1554,232,621,2407
NJ-5,2569,257,1166,3992
NJ-6,1480,258,736,2474
NJ-7,3707,305,1785,5797
NJ-8,940,820,326,2086
NJ-9,1110,305,485,1900
NM-1,2861,716,410,3987
NM-2,2928,1991,520,5439
NM-3,2183,957,422,3562
NV-1,182,237,83,502
NV-2,1813,838,441,3092
NV-3,1944,535,515,2994
NV-4,1360,824,387,2571
NY-1,1709,277,843,2829
NY-10,193,85,197,475
NY-11,1057,346,569,1972
NY-12,269,26,263,558
NY-13,672,298,783,1753
NY-14,472,288,388,1148
NY-15,348,231,625,1204
NY-16,1002,205,696,1903
NY-17,2429,257,1459,4145
NY-18,2401,274,1009,3684
NY-19,869,107,319,1295
NY-2,2243,373,1025,3641
NY-20,1885,151,672,2708
NY-21,1166,203,339,1708
NY-22,1345,194,429,1968
NY-23,1157,171,303,1631
NY-24,1551,192,449,2192
NY-25,2045,166,674,2885
NY-26,1566,185,534,2285
NY-27,1782,185,520,2487
NY-3,4160,446,2789,7395
NY-4,1662,245,1025,2932
NY-5,1072,314,650,2036
NY-6,319,165,268,752
NY-7,489,395,509,1393
NY-8,43,22,23,88
NY-9,744,271,509,1524
OH-1,7524,1766,1659,10949
OH-10,2495,596,545,3636
OH-11,1444,655,974,3073
OH-12,5360,1024,1086,7470
OH-13,3904,1327,791,6022
OH-14,4554,979,1081,6614
OH-15,1990,656,342,2988
OH-16,4563,1239,835,6637
OH-2,2111,648,472,3231
OH-3,5295,1403,1228,7926
OH-4,3097,1080,428,4605
OH-5,3719,874,502,5095
OH-6,2702,1150,347,4199
OH-7,6405,1964,947,9316
OH-8,4077,1177,713,5967
OH-9,2140,881,655,3676
OK-1,4907,1497,1257,7661
OK-2,3091,1494,577,5162
OK-3,3131,1437,589,5157
OK-4,4409,1449,964,6822
OK-5,3610,1304,900,5814
OR-1,3045,934,1488,5467
OR-2,1355,382,253,1990
OR-3,1830,599,1561,3990
OR-4,896,296,222,1414
OR-5,671,305,171,1147
PA-1,223,96,174,493
PA-10,891,164,214,1269
PA-11,503,93,128,724
PA-12,1335,172,409,1916
PA-13,1570,369,856,2795
PA-14,263,71,180,514
PA-15,1193,239,352,1784
PA-16,996,134,312,1442
PA-17,331,101,154,586
PA-18,2215,302,659,3176
PA-2,907,316,912,2135
PA-3,1254,285,403,1942
PA-4,1062,183,341,1586
PA-5,807,220,214,1241
PA-6,2592,318,943,3853
PA-7,641,118,240,999
PA-8,1639,175,552,2366
PA-9,498,148,100,746
RI-1,503,63,244,810
RI-2,706,135,258,1099
SC-1,1639,338,447,2424
SC-2,3458,777,654,4889
SC-3,1630,470,466,2566
SC-4,2679,646,1046,4371
SC-5,1718,583,341,2642
SC-6,2862,1093,1016,4971
SC-7,1989,786,422,3197
SD-A,4804,1187,623,6614
TN-1,3112,1705,1010,5827
TN-2,3840,1444,1155,6439
TN-3,4816,2527,1991,9334
TN-4,2865,1511,858,5234
TN-5,3391,1727,1257,6375
TN-6,4128,2597,1104,7829
TN-7,6487,2527,1914,10928
TN-8,3471,1974,612,6057
TN-9,5342,2852,1892,10086
TX-1,1501,625,389,2515
TX-10,384,154,132,670
TX-11,1295,570,157,2022
TX-12,1025,218,294,1537
TX-13,1986,685,531,3202
TX-14,1161,297,246,1704
TX-15,2908,2820,3143,8871
TX-16,1373,636,954,2963
TX-17,1365,493,300,2158
TX-18,254,162,157,573
TX-19,2311,1081,337,3729
TX-2,2391,636,725,3752
TX-20,170,85,156,411
TX-21,1803,225,826,2854
TX-22,4116,789,970,5875
TX-23,3272,1064,1495,5831
